Patient,SLC6A4,SFTPC,ITLN2,SERTM1,CLDN18,LGI3,AGER,CD300LG,ANKRD1,FABP4,CST1,FAM83A,COL11A1,PPP1R14D,ABCA12,LOC84740,PRAME,SPINK1,CA9,MMP13,status
TCGA-55-7725,250,9880.2521,6.3025,12.605,2630.2521,24.1597,1805.6723,80.8824,65.1261,244.7479,13.6555,25.2101,6.3025,4.2017,17.8571,5181.5021,2.1008,613.4454,2.1008,26.2605,1
TCGA-55-7726,3.5492,12.4224,0,2.6619,7.9858,0.8873,25.732,0,26.6193,49.6894,292.8128,2822.5377,7400.1775,0.8873,611.3576,34.6495,2.6619,0.8873,91.1003,3323.8687,1
TCGA-55-7728,24.8194,8585.664,8.1497,1.8522,18556.3993,14.4471,1725.5047,2.5931,57.7885,7.7792,5086.4975,768.2904,17.7811,330.802,99.6481,922.9672,6.2975,17940.7298,791.6503,31.8578,1
TCGA-55-7815,0,13.0261,0,0,25.0501,1.002,11.022,1.002,28.0561,24.0481,39.0782,911.8236,4102.2044,720.4409,4886.7735,26.0521,2.004,3175.3507,472.5551,469.9399,1
TCGA-55-7903,4.9826,5175.3861,4.4843,4.4843,571.998,11.4599,639.2626,0.9965,24.4145,24.9128,3.986,1429.4968,249.6263,580.4684,44.3448,3187.4788,5.4808,9344.7932,4663.5874,616.8411,1
TCGA-55-7911,8.4578,3380.4678,1.0572,4.2289,248.4472,16.9156,394.8725,4.7575,9.515,7.4006,24.8447,2592.3087,117.3517,598.9163,745.3416,25.9019,168.6269,6181.5779,382.8096,356.2839,1
TCGA-55-7913,0.287,111.6292,23.2441,0.287,5.7393,0.8609,54.5233,0.287,0.287,37.0184,5.4523,3141.6888,169.3091,720.5682,191.1184,6.6633,1371.6909,118.8034,151.2275,22.0963,1
TCGA-55-7995,2.5461,703.3029,1.9803,7.6384,53.1862,3.112,201.4287,0.8487,23.7641,9.053,9.053,57.9956,365.2309,56.0153,367.4942,32.6954,1252.4224,6.7897,2953.6261,2.5461,1
TCGA-55-8085,1.0438,2794.7112,1.0438,0.6959,140.2227,8.0028,304.1058,1.3918,3.1315,24.3563,242.8671,218.1628,148.2255,363.9527,35.4906,2536.8511,780.4454,1210.1601,117.707,12.1781,1
TCGA-55-8087,1.0471,16628.9703,0.6981,1.7452,2929.1449,31.0646,379.0576,1.3962,1.7452,24.4328,186.0384,470.1571,31.0646,5.2356,2.4433,1413.8604,2.7923,50.6108,68.9215,38.3944,1
TCGA-55-8089,4.1583,18068.4866,2.495,0,4133.7298,93.5609,1121.0678,5.4057,94.3926,93.1451,291.0784,11854.3776,353.8682,2.9108,22.0388,1441.2624,17.8805,16.2172,31.4406,5.8216,1
TCGA-55-8090,76.1846,19294.2087,26.0142,18.2719,813.5646,111.1799,2298.2347,12.6974,52.3382,202.2298,3032.2081,5310.9322,485.909,237.5348,403.2208,14.0012,0.9291,1315.5776,559.0461,521.214,1
TCGA-55-8091,0.3751,92.2817,0,0.7503,7.1275,1.8756,64.8973,0.7503,2.2508,48.0165,2263.9032,263.7157,4606.5835,9.0031,133.1708,4358.9046,0.3751,79.1522,1295.5491,692.488,1
TCGA-55-8096,0.6237,34.6153,0.9355,0.3118,5.3014,0.6237,51.4552,5.3014,6.237,259.7706,324.3235,634.6137,2697.1863,352.7018,957.378,1178.8878,1256.4416,2606.1263,691.1708,332.7434,1
TCGA-55-8097,34.428,18203.181,8.0065,2.8023,1587.2889,62.851,7911.6242,9.6078,81.6663,59.2481,822.2677,996.8094,25.6208,6.8055,6.8055,975.4361,44.0358,37468.4244,30.5088,14.812,1
